Source;Target;Type;Weight
1;3;Undirected;3
2;15;Undirected;1
2;17;Undirected;2
2;31;Undirected;2
2;1;Undirected;2
1;21;Undirected;3
1;46;Undirected;3
1;47;Undirected;3
21;15;Undirected;1
3;48;Undirected;1
3;49;Undirected;1
3;50;Undirected;2
3;15;Undirected;1
3;26;Undirected;2
3;10;Undirected;1
3;56;Undirected;1
53;54;Undirected;1
3;7;Undirected;2
55;3;Undirected;1
3;8;Undirected;1
2;11;Undirected;2
2;12;Undirected;2
2;13;Undirected;2
2;14;Undirected;1
13;14;Undirected;1
13;15;Undirected;1
16;2;Undirected;2
18;2;Undirected;1
19;2;Undirected;1
20;2;Undirected;1
3;24;Undirected;2
3;53;Undirected;1
3;54;Undirected;1
3;27;Undirected;1
3;28;Undirected;1
3;29;Undirected;1
3;30;Undirected;1
3;31;Undirected;2
3;32;Undirected;1
3;33;Undirected;1
3;35;Undirected;1
3;36;Undirected;1
3;37;Undirected;1
3;38;Undirected;1
3;39;Undirected;2
3;40;Undirected;2
3;51;Undirected;1
3;52;Undirected;1
15;56;Undirected;1
51;62;Undirected;1
3;62;Undirected;2
2;3;Undirected;3
3;23;Undirected;2
3;34;Undirected;1
3;57;Undirected;1
3;9;Undirected;1
3;57;Undirected;1
15;57;Undirected;1
3;58;Undirected;1
3;59;Undirected;1
3;60;Undirected;1
3;61;Undirected;1
3;21;Undirected;3