Id;Label;residencia;origen;origen_copia_2;relaciones 4_copia_2;residencia_copia
1;Jácome Tiberio Mañara;;Córcega;Corso/Genovés;Familia directa;Indias
2;Francisco Mañara;;Córcega;Corso/Genovés;Familia directa;Indias
3;Tomás Mañara;;Córcega;Corso/Genovés;Familia directa;Sevilla
4;Juan Antonio Corzo Vicentelo;;Córcega;Corso/Genovés;Familia indirecta;
5;Antonio Corzo;;Córcega;Corso/Genovés;Familia indirecta;
6;Antonio Petruche;Perú;Córcega;Corso/Genovés;Paisanaje;Indias
7;Julio Anfriano Vicentelo;;Córcega;Corso/Genovés;Familia indirecta;Indias
8;Baltasar Lorca;Lima;Cuenca;Castellano;Laboral;Indias
9;Pedro de Avendaño y Zúñiga;Lima;Sevilla;Sevillano;Laboral;Indias
10;Gregorio de Ibarra;Lima;Vasco;Vasco;Laboral;Indias
11;Pedro Luis Petruche;Lima;Córcega;Corso/Genovés;Paisanaje;Indias
12;Francisco Corzo Domingo;México;Córcega;Corso/Genovés;Paisanaje;Indias
13;Leonardo Angel;;Córcega;Corso/Genovés;Paisanaje;Indias
14;Lorenzo Pagi;Perú;;Corso/Genovés;Laboral;Indias
15;Miguel Ochoa;Lima;Vasco;Vasco;Laboral;Indias
16;Octaviano Calvi;Perú;Córcega;Corso/Genovés;Paisanaje;Indias
17;Antón Pablo Corzo;;Córcega;Corso/Genovés;Paisanaje;Indias
18;Andrea Bocha;;;Corso/Genovés;Laboral;Indias
19;Marcos de Mesa;Cuzco;;;Laboral;Indias
20;Virrey Cañete;Perú;Cuenca;Castellano;Laboral;Indias
21;Juan Tiberio Mañara;;Córcega;Corso/Genovés;Familia directa;Indias
23;Antonio Anfriano Vicentelo;;Sevilla;Sevillano;Familia indirecta;Indias
24;Martín Sáenz de Ubago;;Vasco;Vasco;Laboral;Sevilla
25;Esteban Cevolin;Toledo;Génova;Corso/Genovés;Paisanaje;
26;Bartolomé Dongo;Sevilla;Génova;Corso/Genovés;Paisanaje;Sevilla
27;Gaspar de Rojas;;Perú;Peruano;Laboral;Indias
28;Antonio de la Cueva;Perú;Sevilla;Sevillano;Laboral;Indias
29;Juan de Buitrón;Perú;;;Laboral;Indias
30;Andrés Martínez de Amileta;Perú;Perú;Peruano;Laboral;Indias
31;Pedro Pablo Minucho;Perú;Córcega;Corso/Genovés;Paisanaje;Indias
32;Nicolás de Guadalupe;Perú;Perú;Peruano;Laboral;Indias
33;Juan Cortés de la Serna;Perú;Sevilla;Sevillano;Laboral;Indias
34;Hernando Almonte;Perú;Sevilla;Sevillano;Laboral;Indias
35;Juan Fernández de Orozco;Perú;Vasco;Vasco;Laboral;Indias
36;Juan de Campos;;Canarias;Canario;Laboral;Sevilla
37;Miguel Espinosa;;;;Laboral;Sevilla
38;Baltasar Espinosa;;;;Laboral;Sevilla
39;Vicente Medina Vicentelo;Tierra Firme;Sevilla;Sevillano;Familia indirecta;Indias
40;José Rodríguez de Medina;Cádiz;Cádiz;Sevillano;Familia indirecta;Sevilla
41;Jácome Salucio;;Génova;Corso/Genovés;Paisanaje;
42;Tomás Gentil;;Génova;Corso/Genovés;Paisanaje;
46;Domingo Tiberio Mañara;;Córcega;Corso/Genovés;Familia directa;Indias
47;Lucas Tiberio Mañara;;Córcega;Corso/Genovés;Familia directa;Indias
48;Juan Faraz;México;;;Laboral;Indias
49;Ángel Guillaza;México;;;Laboral;Indias
50;Ambrosio Villaza;México y Lima;Génova;Corso/Genovés;Paisanaje;Indias
51;Domingo de Garro;Lima;Vasco;Vasco;Laboral;Indias
52;Pedro González Refolio;Lima;Sevilla;Sevillano;Laboral;Indias
53;Lope de Munive;Lima;Vasco;Vasco;Laboral;Indias
54;Pedro de Avendaño Villela;Perú;Vasco;Vasco;Laboral;Indias
55;Francisco de Quiñones;Chile;León;Castellano;Laboral;Indias
56;Juan de Munibe;Sevilla;Sevilla;Sevillano;Laboral;Sevilla
57;Francisco de Natera;;Sevilla;Sevillano;Laboral;Sevilla
58;Juan de la Fuente Almonte;Sevilla;Sevilla;Sevillano;Laboral;Sevilla
59;Andrés Madariaga;Sevilla;Vasco;Vasco;Laboral;Sevilla
60;Lope de Olloqui;Sevilla;Sevilla;Sevillano;Laboral;Sevilla
61;Gerónimo de Orozco;Sevilla;Burgos;Castellano;Laboral;Sevilla
62;Juan Bautista Corzo;;Córcega;Corso/Genovés;Paisanaje;Indias